Toplam Sandık Sayısı,180524,,,,,,,,,,,,,,,,,
Açılan Sandık Sayısı,180524,,,,,,,,,,,,,,,,,
Oy Kullanan Seçmen Sayısı,49664165,,,,,,,,,,,,,,,,,
Açılan Sandıklardaki Kayıtlı Seçmen Sayısı,56406836,,,,,,,,,,,,,,,,,
Geçerli Oy Sayısı,48631366,,,,,,,,,,,,,,,,,
Kayıtlı Seçmen Sayısı,56322632,,,,,,,,,,,,,,,,,
Seçime Katılma Oranı,%88.18,,,,,,,,,,,,,,,,,
Geçersiz Oy Toplamı,1032799,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Sıra No,İl Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,İtirazsız Geçerli Oy Sayısı,İtirazlı Geçerli Oy Sayısı,Toplam Geçerli Oy,Toplam Geçersiz Oy,AK PARTİ,MHP,HÜDA PAR,VATAN PARTİSİ,HDP,CHP,SAADET,İYİ PARTİ,CUMHUR İTTİFAKI,MİLLET İTTİFAKI,BAĞIMSIZ TOPLAM OY
46,İZMİR-1,1579092,1397565,1373311,81,1373392,24173,377584,78038,2276,4223,169996,569968,10758,145611,9097,4882,959
47,İZMİR-2,1653277,1483365,1453287,1318,1454605,28760,398659,94889,2449,4725,149819,610799,11689,165801,9315,5467,993
48,KAHRAMANMARAŞ,739457,661140,648790,0,648790,12350,375008,105917,1531,1323,22252,61433,9848,63283,7388,807,0
49,KARABÜK,176018,154405,150054,3,150057,4348,79446,20274,323,552,1486,24744,2605,18490,1763,374,0
50,KARAMAN,173867,156830,152972,0,152972,3858,80498,22826,356,521,1671,24608,2431,17884,1877,300,0
51,KARS,182194,147467,143051,0,143051,4416,52791,10145,424,414,46285,20207,973,10597,993,222,0
52,KASTAMONU,285917,249191,241904,0,241904,7287,123900,48471,727,1075,1524,37150,2281,22754,3496,526,0
53,KAYSERİ,954408,864726,848393,309,848702,16024,420880,182076,1479,1274,16193,102885,14733,94607,12296,1484,795
54,KIRIKKALE,199395,173824,170629,0,170629,3195,72611,41333,292,300,1881,25752,2062,23624,2378,396,0
55,KIRKLARELİ,273082,246416,241347,0,241347,5069,62148,11367,358,675,7123,116179,1434,40069,1030,903,61
56,KIRŞEHİR,166167,143297,139890,1,139891,3406,56059,23573,254,283,6029,35870,1396,14338,1669,319,101
57,KİLİS,86080,75129,73424,0,73424,1705,36706,14977,177,125,1347,10575,996,7546,845,130,0
58,KOCAELİ,1336401,1198849,1175652,10,1175662,23187,556671,132452,1843,2014,82860,235465,25950,122645,12151,3111,500
59,KONYA,1505540,1341859,1304261,8691,1312952,28907,771547,203301,2787,1996,43228,122916,31092,118899,14734,1856,596
60,KÜTAHYA,422653,386024,377485,1,377486,8538,203939,69737,811,900,2678,46808,6841,40501,4542,729,0
61,MALATYA,555931,487151,478685,1,478686,8465,254970,77413,1619,655,32081,79605,7247,20347,4184,565,0
62,MANİSA,1046410,953742,930045,153,930198,23544,363916,105643,2545,2739,62198,245894,8666,128002,8124,2471,0
63,MARDİN,471225,395732,385185,96,385281,10451,113634,9387,8253,641,233657,10915,3151,3952,1136,205,350
64,MERSİN,1272836,1123450,1101666,892,1102558,20892,302200,139581,4486,2391,186663,296514,7515,151924,8372,2538,374
65,MUĞLA,725909,642952,628496,131,628627,14325,169767,39793,1378,2615,40278,259707,3785,105395,3524,2385,0
66,MUŞ,228826,189275,182918,119,183037,6238,57747,6527,2784,391,101744,3633,1652,7881,584,94,0
67,NEVŞEHİR,210901,189162,185381,0,185381,3781,96984,33106,551,418,2335,30496,2175,16841,2151,324,0
68,NİĞDE,240315,210930,206290,0,206290,4640,88103,42719,443,613,2424,41597,2487,24788,2716,400,0
69,ORDU,558478,484245,470149,0,470149,14096,223444,78591,1244,1745,4269,106924,5382,40161,7340,1049,0
70,OSMANİYE,358510,308729,303085,0,303085,5644,105800,95799,1157,652,9585,40424,2987,41087,5113,481,0
71,RİZE,252766,222114,217506,1,217507,4607,139948,26907,228,354,2048,27800,4096,13088,2365,397,276
72,SAKARYA,705678,637350,625861,5,625866,11484,358992,84952,856,1180,14048,84316,12982,59290,7898,1352,0
73,SAMSUN,960245,848938,827706,19,827725,21213,421974,133763,1281,1748,10645,141808,11854,91077,10969,1891,715
74,SİİRT,180215,151462,146267,0,146267,5195,55890,4905,1776,269,76225,2990,1355,2181,573,103,0
75,SİNOP,160081,140110,135287,2,135289,4821,73639,9562,444,778,2065,32784,1516,12675,1445,381,0
76,SİVAS,450597,404295,396708,325,397033,7262,213446,75405,532,615,6863,59813,7052,27292,5151,598,266
77,ŞANLIURFA,1063482,864333,843128,733,843861,20472,440085,77479,13495,927,247256,28880,10913,14965,5882,531,3448
78,ŞIRNAK,268840,233565,226735,3,226738,6827,38523,8721,4847,344,162969,5048,1001,4284,448,145,408
79,TEKİRDAĞ,737697,657317,644493,0,644493,12824,216811,47860,904,1589,40274,248539,5018,76707,4394,2168,229
80,TOKAT,424187,382498,374420,576,374996,7502,183402,61264,615,664,5999,77417,4834,35463,4733,605,0
81,TRABZON,583892,509406,497817,3,497820,11586,274490,66992,615,916,4273,74348,12495,56267,6035,1102,287
82,TUNCELİ,64299,55449,54194,0,54194,1255,7228,3019,57,63,28219,14358,165,849,170,51,15
83,UŞAK,266929,242827,235979,28,236007,6820,100364,24672,604,724,6195,67031,3263,30507,2049,598,0
84,VAN,639730,529789,511858,1,511859,17930,157637,14798,4753,808,310273,10946,4031,5992,2009,298,314
85,YALOVA,178253,155158,152467,0,152467,2691,65787,11659,286,322,11713,43843,1995,15089,1347,426,0
86,YOZGAT,296869,256041,251070,134,251204,4837,131340,62006,443,430,2100,28575,2966,18727,4294,323,0
87,ZONGULDAK,447085,392815,377650,2,377652,15163,170175,40689,815,1522,5382,116804,6726,29677,3461,1210,1191
